Region Label,Tini_curvature,Inclusion flag,n,ga_min,ga_max,a,amplitude,k,Tini_radiality,SE_Tini_radiality,CI_width_radiality,R2_radiality,p_fit_radiality,p_Tini_radiality,converged,q_fit_radiality,q_Tini_radiality,primary_radiality_pass,strict_radiality_pass,joint_primary_pass,joint_strict_pass,delta_weeks
Angular_R,27.1610446507035,1,93,22.571428571428573,38.285714285714285,0.7973114504437081,-0.27749199890713894,0.715716898423643,28.52742222628468,0.2990714855053836,1.1723602231811037,0.9054748549457458,1.8666393511566614e-45,2.0579471969448342e-91,True,1.0399847813587113e-44,1.2862169980905215e-90,True,True,True,True,-1.3663775755811827
Precuneus_L,27.6374523590309,1,93,22.571428571428573,38.285714285714285,0.7020082823066216,-0.22157743318090925,0.3730306915411816,27.6928954494667,0.3921205485541523,1.537112550332277,0.9226332332269129,2.534281081864881e-49,6.017018741437345e-80,True,1.797035676231461e-48,1.7356784831069265e-79,True,True,True,True,-0.05544309043580142
Precuneus_R,26.5727774370475,1,93,22.571428571428573,38.285714285714285,0.6916172604283181,-0.19780482159545165,0.4059850538203757,27.62177776434998,0.36051511403261116,1.4132192470078357,0.9283108681254156,8.553724810304804e-51,4.7980217459461364e-83,True,8.339881690047184e-50,1.799258154729801e-82,True,True,True,True,-1.0490003273024797
Paracentral_Lobule_L,24.9930791456695,1,93,22.571428571428573,38.285714285714285,0.6529290853903785,-0.1393266515960661,0.7334728802097882,27.17120018518485,0.47888558533472625,1.877231494512127,0.7740379840980987,1.2039614108615385e-28,1.1417490641956172e-71,True,2.1342952283454548e-28,2.5948842368082212e-71,True,True,True,True,-2.17812103951535
Paracentral_Lobule_R,25.2751438730175,1,93,22.571428571428573,38.285714285714285,0.6490090911005363,-0.1379027751752146,0.6716936501590285,27.60267348213478,0.4740777186242398,1.85838465700702,0.8038466730944992,2.2621528871685597e-31,1.214809855100248e-72,True,4.5243057743371195e-31,2.9390561010489867e-72,True,True,True,True,-2.3275296091172777
Heschl_L,-2.72625553796035,0,93,22.571428571428573,38.285714285714285,0.8573228302393096,-0.4348921537954552,0.1365701314987934,13.42921272118661,31.08069479853904,121.83632361027303,0.758709765117995,2.2122500493777665e-27,0.666731428008876,True,3.751206605466648e-27,0.6945119041759125,False,False,False,False,-16.15546825914696
Heschl_R,25.1944663434115,0,92,23.0,38.285714285714285,239.13826673520109,-238.79499361570032,0.047724013557109896,-138.8721121890908,0.0,0.0,0.5853285458371995,8.788537626124026e-17,,False,1.1237802210453673e-16,,False,False,False,False,164.06657853250232
Temporal_Sup_L,21.632404351322,0,93,22.571428571428573,38.285714285714285,0.7326175583719509,-0.24682736864940538,0.5228972322540927,26.758007044764476,0.3092484173765853,1.2122537961162143,0.9303855287212778,2.3178473911257483e-51,1.10149682781087e-87,True,2.582744235825834e-50,5.900875863272517e-87,True,True,False,False,-5.125602693442477
Temporal_Sup_R,24.6465410044287,1,93,22.571428571428573,38.285714285714285,0.7444784606634988,-0.25027583997374037,0.37965406204085395,24.987496930542527,0.5461991951705634,2.141100845068608,0.9050037587189556,2.328245295332976e-45,1.27288001171667e-63,True,1.2106875535731473e-44,2.2201395553197733e-63,True,True,True,True,-0.3409559261138284
Temporal_Pole_Sup_L,22.2565184117322,0,93,22.571428571428573,38.285714285714285,0.6309132458159884,-0.12352028779503685,0.39541800327036636,29.213842605377042,0.7321085237130996,2.8698654129553507,0.7249118564509922,7.391091845606461e-25,1.3936283515072693e-58,True,1.153010327914608e-24,2.0904425272609042e-58,True,True,False,False,-6.957324193644844
Temporal_Pole_Sup_R,21.437404528057,0,93,22.571428571428573,38.285714285714285,0.6318723354299829,-0.11814873557345584,0.6332718128644224,30.35515571297489,0.641162425925992,2.5133567096298886,0.7004087577503886,3.2397863521525795e-23,6.777767904726218e-65,True,4.859679528228869e-23,1.2708314821361659e-64,True,True,False,False,-8.91775118491789
Temporal_Mid_L,27.669392343402,1,93,22.571428571428573,38.285714285714285,0.8006851185109924,-0.2873325124951222,0.45778275639938665,27.753323669313357,0.31926245783772367,1.2515088347238768,0.934233590066163,1.849332487621916e-52,7.314859827525831e-88,True,2.404132233908491e-51,4.220111438957211e-87,True,True,True,True,-0.0839313259113581
Temporal_Mid_R,26.4548248472767,1,93,22.571428571428573,38.285714285714285,0.8121274243435,-0.3048847045496584,0.3796352937999721,27.186720143401477,0.3676908800082463,1.4413482496323253,0.9345041211395878,1.539622424794469e-52,1.085026831149973e-81,True,2.4018109826793716e-51,3.6989551061930893e-81,True,True,True,True,-0.731895296124776
Temporal_Pole_Mid_L,34.6993724577743,1,93,22.571428571428573,38.285714285714285,0.6746812742444823,-0.12971672692146238,0.8175709622333011,33.27535845106402,0.6237665530490286,2.4451648879521923,0.5640500068960628,5.182053070319796e-16,2.362145558768009e-69,True,6.415875229919748e-16,5.061740483074305e-69,True,True,True,True,1.42401400671028
Temporal_Pole_Mid_R,-791683.712751296,0,93,22.571428571428573,38.285714285714285,0.6788771584990735,-0.16840763321877364,0.8633465418403985,33.08175537916658,0.4566693542057942,1.7901438684867133,0.6954993600523941,6.655277335492732e-23,6.510609583856986e-81,True,9.613178373489502e-23,1.953182875157096e-80,True,True,False,False,-791716.7945066752
Temporal_Inf_L,29.7209898325554,1,93,22.571428571428573,38.285714285714285,0.6926132629374729,-0.20231763531014,0.4311611779206856,29.292409321146867,0.4929293609842325,1.9322830950581915,0.8428444269133151,1.2042151000259295e-35,2.0642539934363547e-73,True,2.935274306313203e-35,5.1606349835908867e-73,True,True,True,True,0.4285805114085335
Temporal_Inf_R,30.0306969512836,1,93,22.571428571428573,38.285714285714285,0.6917856617086019,-0.1751942415984753,0.5379503101212652,29.79371347083378,0.4581007634838649,1.7957549928567504,0.8337431626424002,1.46696864320897e-34,8.022709912745668e-77,True,3.365398652067637e-34,2.1489401551997326e-76,True,True,True,True,0.23698348044981898
