t,"curvature, k3 = 0","curvature, k3 = 0.06","curvature, k3 = 0.13","curvature, k3 = 0.21","curvature, k3 = 0.28","curvature, k3 = 0.33","diameter, k = 0","diameter, k = 0.06","diameter, k = 0.13","diameter, k = 0.21","diameter, k = 0.28","diameter, k = 0.33",0°: κ = 0 (radially aligned),30°: κ = 0.06,45°: κ = 0.13,60°: κ = 0.21,75°: κ = 0.28,90°: κ = 0.33 (isotropic)
0.96,0.6490444248118672,0.66540553032771,0.692063958,0.7475970891391349,0.8633167415392029,1.0659598885809636,2.176265943940205,2.178485286,2.1820856689517116,2.1880832154117256,2.1939396151754034,2.1920488105136964,1.4124932778223256,1.449576157041943,1.5101428447497993,1.6358046426360047,1.894064799707002,2.3366361058192133
0.97,0.658539562797469,0.6753365988448843,0.70318034,0.7607255185926179,0.8810456057633186,1.0895963899493903,2.1805275269627464,2.182802378,2.1865018259391817,2.1926773043837673,2.1987416632932417,2.196791307212747,1.4359636442738932,1.4741263339090453,1.5375050973745346,1.668025579483605,1.9371916806532408,2.3936158778112113
0.98,0.6681875870200119,0.6854176236922601,0.71460404,0.7740675891014371,0.8994052818179393,1.113562320842357,2.1847919320635274,2.187123618,2.190916134661221,2.197265808360101,2.20351353272222,2.201525026758014,1.4598508492263182,1.4990930729707785,1.5656375211300926,1.7008322468923236,1.9818517098876716,2.4515353181891864
0.99,0.678027747792714,0.6957532127614475,0.726307868,0.7875333973469094,0.9180558917011561,1.1379789035179089,2.1890566446178354,2.19144265,2.1953273911481626,2.2018598760916364,2.20827988376913,2.206219293312643,1.4842411465409064,1.5247032643199603,1.594483557026824,1.7340381887002914,2.027324357819394,2.5106310123239775
1,0.6881071886892223,0.7063054627852682,0.738071137,0.8014770226155017,0.9370267390223905,1.1625688351564187,2.1933231928012487,2.195761302,2.1997462176366076,2.206436829506851,2.2130336721563744,2.2108952369802743,1.5092414560853362,1.5508782025750931,1.6235691919625006,1.768408420702338,2.0736717251674337,2.570317900309032
1.01,0.6983734433210284,0.7171054848394893,0.750248534,0.8158903875380238,0.9563585241740785,1.1874818005103565,2.1975904098343797,2.200082837,2.204152607682531,2.2110131388674183,2.2177716948207937,2.215554373474879,1.5347387815253057,1.5776914695139241,1.6536622626260962,1.8039443667222004,2.120984865013859,2.630930496542544
1.02,0.7089104094717266,0.7284445417691108,0.76269873,0.8308602080086017,0.9759906568773119,1.212589438972488,2.201853022516569,2.204396695,2.2085577071613613,2.215580475234483,2.2224972170423376,2.2201936769737443,1.5609165277887795,1.605780740366617,1.6844641583836821,1.840837654513119,2.169136518769149,2.692183405171858
1.03,0.7197707913758702,0.7401584532109589,0.775374432,0.8462309795964186,0.9960736166707632,1.2379275361521402,2.20611474187022,2.208708128,2.2129592340265662,2.2201391818643685,2.227201790646005,2.2248108040584973,1.5878969536219016,1.6347939916149525,1.715872009122504,1.8787505547094758,2.2184569426643663,2.7541545570727974
1.04,0.7309566414957246,0.7521169897540397,0.788329672,0.8618933035556388,1.0164761955767898,1.2632628948058242,2.2103753003274003,2.213018524,2.217355090066782,2.224686787669592,2.231888447924307,2.2293915349906337,1.61568850597242,1.6644488305408083,1.7480068108598767,1.9174426448011264,2.268661478497886,2.816307604147868
1.05,0.7424286872638893,0.7644682401814537,0.801633735,0.8779193718244155,1.0372251232841636,1.2890710287295204,2.2146329599489314,2.217324244,2.2217446777532968,2.229227851891193,2.236560354541791,2.2339603796903287,1.6442070412262266,1.6950739627223521,1.7810254842437467,1.9570823153858072,2.3198165894720817,2.879733604788402
